neighbourhood_cleansed,number_of_hosts,number_of_reviews
Archipelbuurt,12,367
Arendsdorp,10,607
Belgisch Park,48,1647
Bezuidenhout-Midden,26,858
Bezuidenhout-Oost,18,385
Bezuidenhout-West,5,25
Binckhorst,21,77
Bloemenbuurt-Oost,10,323
Bloemenbuurt-West,4,15
Bohemen en Meer en Bos,1,1
Bomenbuurt,10,1445
Bosjes van Pex,2,13
Burgen en Horsten,3,42
Componistenbuurt,2,180
De Bras,21,1103
De Lanen,1,0
De Rivieren,9,455
De Uithof,3,552
De Velden,12,97
De Venen,3,125
De Vissen,1,84
Dreven en Gaarden,1,77
Duindorp,10,336
Duinzigt,5,274
Duttendel,8,208
Erasmus Veld,2,712
Eykenduinen,5,79
Geuzenkwartier,14,541
Haagse Bos,2,21
Heesterbuurt,8,44
Hoge Veld,3,9
Huygenspark,35,4599
Koningsplein en omgeving,24,655
Kortenbos,35,1585
Kraayenstein en Vroondaal,7,569
Laakhaven-Oost,2,49
Laakhaven-West,2,113
Laakkwartier-Oost,15,151
Laakkwartier-West,5,122
Lage Veld,1,2
Landen,5,355
Leyenburg,2,29
Marlot,12,514
Moerwijk-Noord,1,25
Moerwijk-Oost,1,19
Moerwijk-West,3,24
Morgenstond-Oost,3,289
Morgenstond-Zuid,3,34
Morgenweide,3,138
Nassaubuurt,6,411
Nieuw Waldeck,3,36
Noordpolderbuurt,6,67
Ockenburgh,24,743
Oostbroek-Noord,2,3
Oostbroek-Zuid,1,6
Oud Scheveningen,17,372
Rietbuurt,3,6
Rijslag,23,480
Rivierenbuurt-Noord,14,332
Rivierenbuurt-Zuid,3,754
Rond de Energiecentrale,5,111
Rustenburg,1,50
Scheveningen Badplaats,87,2718
Schildersbuurt-Noord,4,262
Schildersbuurt-West,7,566
Spoorwijk,3,25
Stadhoudersplantsoen,5,219
Statenkwartier,38,2280
Sweelinckplein en omgeving,18,568
Transvaalkwartier-Zuid,1,15
Uilebomen,5,111
Uilennest,3,139
Valkenboskwartier,30,1557
Van Hoytemastraat en omgeving,4,14
Van Stolkpark en Scheveningse Bosjes,1,1
Visserijbuurt,29,510
Vissershaven,11,653
Vliegeniersbuurt,74,5752
Vlietzoom-Oost,30,976
Vlietzoom-West,23,941
Vogelwijk,25,867
Voorhout,21,1078
Vruchtenbuurt,15,619
Waalsdorp,6,50
Waldeck-Noord,2,60
Waldeck-Zuid,2,145
Waterbuurt,1,1
Westbroekpark,1,8
Willemspark,11,349
Zeeheldenkwartier,34,1763
Zonne Veld,1,28
Zorgvliet,1,4
Zuiderpark,1,337
Zuidwal,38,771
